"date","segment","units","net_sales_eur"
2022-04-08,"Powertrain Mounts",4084,236311.02
2022-04-08,"Sealing",61088,194818.74
2022-04-09,"Cable Protection",3258,21053.16
2022-04-09,"Chassis NVH",2899,69562.62
2022-04-09,"Hoses & Bellows",4110,60706.01
2022-04-09,"Other Automotive",2279,20660.65
2022-04-09,"Powertrain Mounts",1259,71373.64
2022-04-09,"Sealing",16113,51554.01
2022-04-10,"Cable Protection",2013,13101.37
2022-04-10,"Chassis NVH",2406,57848.46
2022-04-10,"Hoses & Bellows",3375,51076.62
2022-04-10,"Other Automotive",1666,15182.58
2022-04-10,"Powertrain Mounts",957,54817.19
2022-04-10,"Sealing",10673,34446.17
2022-04-11,"Cable Protection",15346,98195.29
2022-04-11,"Chassis NVH",8698,208265.01
2022-04-11,"Hoses & Bellows",11127,164755.68
2022-04-11,"Other Automotive",8400,74075.06
2022-04-11,"Powertrain Mounts",3836,219617.49
2022-04-11,"Sealing",60168,190712.55
2022-04-12,"Cable Protection",15346,98794.4
2022-04-12,"Chassis NVH",8542,213373.94
2022-04-12,"Hoses & Bellows",11997,183026.34
2022-04-12,"Other Automotive",8724,79662.66
2022-04-12,"Powertrain Mounts",3838,220170.54
2022-04-12,"Sealing",56116,178983.46
2022-04-13,"Cable Protection",17299,110181.15
2022-04-13,"Chassis NVH",8746,209971.26
2022-04-13,"Hoses & Bellows",12206,185586.4
2022-04-13,"Other Automotive",8243,72573.33
2022-04-13,"Powertrain Mounts",4209,241115.06
2022-04-13,"Sealing",64882,217174.5
2022-04-14,"Cable Protection",4299,28703.75
2022-04-14,"Chassis NVH",3258,78486.9
2022-04-14,"Hoses & Bellows",4621,68922.59
2022-04-14,"Other Automotive",2441,20831.63
2022-04-14,"Powertrain Mounts",1346,77273.47
2022-04-14,"Sealing",17508,56736.52
2022-04-15,"Cable Protection",18458,123828.32
2022-04-15,"Chassis NVH",8409,206224.69
2022-04-15,"Hoses & Bellows",11827,180335.4
2022-04-15,"Other Automotive",8147,75190.54
2022-04-15,"Powertrain Mounts",3963,232897.96
2022-04-15,"Sealing",62598,200111.36
2022-04-16,"Cable Protection",1832,12067.26
2022-04-16,"Chassis NVH",2322,55928.43
2022-04-16,"Hoses & Bellows",3162,47602.07
2022-04-16,"Other Automotive",1461,13598.78
2022-04-16,"Powertrain Mounts",898,51185.86
2022-04-16,"Sealing",9199,29875.86
2022-04-17,"Cable Protection",1956,12391.07
2022-04-17,"Chassis NVH",2389,58135.17
2022-04-17,"Hoses & Bellows",3288,48793.18
2022-04-17,"Other Automotive",1588,14619.19
2022-04-17,"Powertrain Mounts",886,51662.13
2022-04-17,"Sealing",9494,29467.18
2022-04-18,"Cable Protection",18815,121843.16
2022-04-18,"Chassis NVH",10196,245689.15
2022-04-18,"Hoses & Bellows",12929,193198.39
2022-04-18,"Other Automotive",8432,76200.26
2022-04-18,"Powertrain Mounts",4168,244525.02
2022-04-18,"Sealing",67019,210696.34
2022-04-19,"Cable Protection",16232,107628.85
2022-04-19,"Chassis NVH",9681,227019.5
2022-04-19,"Hoses & Bellows",12441,188026.82
2022-04-19,"Other Automotive",8323,73724.02
2022-04-19,"Powertrain Mounts",3971,225871.11
2022-04-19,"Sealing",61670,197254.59
2022-04-20,"Cable Protection",16640,107630.46
2022-04-20,"Chassis NVH",9378,222930.69
2022-04-20,"Hoses & Bellows",13852,201916.64
2022-04-20,"Other Automotive",8959,81641.36
2022-04-20,"Powertrain Mounts",4200,243327.54
2022-04-20,"Sealing",65162,206662.99
2022-04-21,"Cable Protection",16419,104513.79
2022-04-21,"Chassis NVH",9072,219197.12
2022-04-21,"Hoses & Bellows",13160,197215
2022-04-21,"Other Automotive",9300,88035.27
2022-04-21,"Powertrain Mounts",4430,261007.04
2022-04-21,"Sealing",61597,195053.82
2022-04-22,"Cable Protection",15036,96534.6
2022-04-22,"Chassis NVH",8383,200816.24
2022-04-22,"Hoses & Bellows",12061,177407.06
2022-04-22,"Other Automotive",8722,79664.79
2022-04-22,"Powertrain Mounts",4102,237386.19
2022-04-22,"Sealing",55466,174379.85
2022-04-23,"Cable Protection",3272,21874.48
2022-04-23,"Chassis NVH",3202,74173.84
2022-04-23,"Hoses & Bellows",4377,66054.85
2022-04-23,"Other Automotive",2586,23205.13
2022-04-23,"Powertrain Mounts",1236,72871.54
2022-04-23,"Sealing",14673,46818.27
2022-04-24,"Cable Protection",1954,12466.5
2022-04-24,"Chassis NVH",2532,60666.7
2022-04-24,"Hoses & Bellows",3455,52511.55
2022-04-24,"Other Automotive",1740,15574.54
2022-04-24,"Powertrain Mounts",890,51015.48
2022-04-24,"Sealing",9357,29943.79
2022-04-25,"Cable Protection",17471,115103.96
2022-04-25,"Chassis NVH",9400,231290.03
2022-04-25,"Hoses & Bellows",12650,196719.88
2022-04-25,"Other Automotive",9960,88128.16
2022-04-25,"Powertrain Mounts",4636,278139.63
2022-04-25,"Sealing",67227,218218.09
2022-04-26,"Cable Protection",18557,120805.52
2022-04-26,"Chassis NVH",10674,264466.22
2022-04-26,"Hoses & Bellows",13672,206234.59
2022-04-26,"Other Automotive",10204,91916.28
2022-04-26,"Powertrain Mounts",4463,260347.18
2022-04-26,"Sealing",69748,220283.22
2022-04-27,"Cable Protection",17775,118829.41
2022-04-27,"Chassis NVH",10323,248499.97
2022-04-27,"Hoses & Bellows",13963,208791.82
2022-04-27,"Other Automotive",9740,86158.44
2022-04-27,"Powertrain Mounts",4485,266479.4
2022-04-27,"Sealing",68888,219517.34
2022-04-28,"Cable Protection",17574,116950.93
2022-04-28,"Chassis NVH",9571,230909.8
2022-04-28,"Hoses & Bellows",13784,207725.35
2022-04-28,"Other Automotive",10549,94340.55
2022-04-28,"Powertrain Mounts",4301,247462.8
2022-04-28,"Sealing",67085,213177.14
2022-04-29,"Cable Protection",17123,111628.35
2022-04-29,"Chassis NVH",8861,212798.03
2022-04-29,"Hoses & Bellows",12249,183322.37
2022-04-29,"Other Automotive",9598,85554.36
2022-04-29,"Powertrain Mounts",4147,241646.07
2022-04-29,"Sealing",60308,192128.15
2022-04-30,"Cable Protection",1921,12248.94
2022-04-30,"Chassis NVH",2395,58567.27
2022-04-30,"Hoses & Bellows",3456,52938.89
2022-04-30,"Other Automotive",1662,15162.98
2022-04-30,"Powertrain Mounts",978,55966.9
2022-04-30,"Sealing",9386,30740.39
2022-05-01,"Cable Protection",2025,13397.84
2022-05-01,"Chassis NVH",2440,59236.07
2022-05-01,"Hoses & Bellows",3356,50747.41
2022-05-01,"Other Automotive",1933,17353.06
2022-05-01,"Powertrain Mounts",972,53815.29
2022-05-01,"Sealing",9886,30527.23
2022-05-02,"Cable Protection",20491,131707.77
2022-05-02,"Chassis NVH",9754,233033.99
2022-05-02,"Hoses & Bellows",13821,205134.96
2022-05-02,"Other Automotive",10927,97629.3
2022-05-02,"Powertrain Mounts",4601,265173.53
2022-05-02,"Sealing",71847,233659.44
2022-05-03,"Cable Protection",21213,140571.35
2022-05-03,"Chassis NVH",10418,243693.48
2022-05-03,"Hoses & Bellows",14035,205721.23
2022-05-03,"Other Automotive",11193,102978.27
2022-05-03,"Powertrain Mounts",4683,266237.23
2022-05-03,"Sealing",69554,223856.91
2022-05-04,"Cable Protection",20466,136489.94
2022-05-04,"Chassis NVH",10826,258014.32
2022-05-04,"Hoses & Bellows",14072,215368.16
2022-05-04,"Other Automotive",10886,98525.26
2022-05-04,"Powertrain Mounts",5076,299053.07
2022-05-04,"Sealing",82073,259453.29
2022-05-05,"Cable Protection",20389,133549.07
2022-05-05,"Chassis NVH",10510,252474.4
2022-05-05,"Hoses & Bellows",13956,205893.3
2022-05-05,"Other Automotive",10649,96276.56
2022-05-05,"Powertrain Mounts",4891,288597.97
2022-05-05,"Sealing",72280,224097.59
2022-05-06,"Cable Protection",18445,121980.93
2022-05-06,"Chassis NVH",9476,226686.85
2022-05-06,"Hoses & Bellows",13215,200838.25
2022-05-06,"Other Automotive",9651,84703.9
2022-05-06,"Powertrain Mounts",4798,287433.37
2022-05-06,"Sealing",71949,224155.6
2022-05-07,"Cable Protection",3857,25162.3
2022-05-07,"Chassis NVH",3392,82243.35
2022-05-07,"Hoses & Bellows",4339,66573.71
2022-05-07,"Other Automotive",2535,22470.57
2022-05-07,"Powertrain Mounts",1560,89258.27
2022-05-07,"Sealing",16599,54115.29
2022-05-08,"Cable Protection",2157,13857.88
2022-05-08,"Chassis NVH",2657,63729.48
2022-05-08,"Hoses & Bellows",3983,59138.21
2022-05-08,"Other Automotive",1852,17219.73
2022-05-08,"Powertrain Mounts",969,54783.38
2022-05-08,"Sealing",10355,32955.57
2022-05-09,"Cable Protection",18763,126147.18
2022-05-09,"Chassis NVH",10675,252294.32
2022-05-09,"Hoses & Bellows",13224,200324.23
2022-05-09,"Other Automotive",10509,92987.84
2022-05-09,"Powertrain Mounts",4934,278580.59
2022-05-09,"Sealing",74412,241517.45
2022-05-10,"Cable Protection",18991,123499.19
2022-05-10,"Chassis NVH",10965,267988.52
2022-05-10,"Hoses & Bellows",13802,212400.29
2022-05-10,"Other Automotive",11343,103936.89
2022-05-10,"Powertrain Mounts",5124,296262.2
2022-05-10,"Sealing",80580,257926.71
2022-05-11,"Cable Protection",19795,125336.04
2022-05-11,"Chassis NVH",10768,253908.64
2022-05-11,"Hoses & Bellows",13724,206015.36
2022-05-11,"Other Automotive",11913,105910.79
2022-05-11,"Powertrain Mounts",4997,293746.24
2022-05-11,"Sealing",79505,257074.3
2022-05-12,"Cable Protection",21264,136814.06
2022-05-12,"Chassis NVH",10713,255668.82
2022-05-12,"Hoses & Bellows",14084,204049.9
2022-05-12,"Other Automotive",11801,108080.33
2022-05-12,"Powertrain Mounts",5346,310570.85
2022-05-12,"Sealing",80513,263046.47
2022-05-13,"Cable Protection",19220,123270.32
2022-05-13,"Chassis NVH",9583,233607.1
2022-05-13,"Hoses & Bellows",13389,201639.35
2022-05-13,"Other Automotive",10151,91307.87
2022-05-13,"Powertrain Mounts",4772,277037.33
2022-05-13,"Sealing",67773,216180.02
2022-05-14,"Cable Protection",3926,25706.58
2022-05-14,"Chassis NVH",3222,75674.94
2022-05-14,"Hoses & Bellows",4531,67724.45
2022-05-14,"Other Automotive",2636,23797.44
2022-05-14,"Powertrain Mounts",1523,87065.37
2022-05-14,"Sealing",16145,51378.23
2022-05-15,"Cable Protection",2057,13368.27
2022-05-15,"Chassis NVH",2353,55211.79
2022-05-15,"Hoses & Bellows",3522,52516.65
2022-05-15,"Other Automotive",1758,15289.23
2022-05-15,"Powertrain Mounts",1046,59186.27
2022-05-15,"Sealing",9962,32563.7
2022-05-16,"Cable Protection",19359,130853.69
2022-05-16,"Chassis NVH",9954,235483.44
2022-05-16,"Hoses & Bellows",13513,201676.73
2022-05-16,"Other Automotive",10978,98567.27
2022-05-16,"Powertrain Mounts",4979,288744.5
2022-05-16,"Sealing",74348,233583.56
2022-05-17,"Cable Protection",21284,136156.7
2022-05-17,"Chassis NVH",11097,267382.76
2022-05-17,"Hoses & Bellows",14642,217219.65
2022-05-17,"Other Automotive",12401,111693.8
2022-05-17,"Powertrain Mounts",4979,274427.66
2022-05-17,"Sealing",79382,248156.31
2022-05-18,"Cable Protection",22103,143300.6
2022-05-18,"Chassis NVH",11341,271325.4
2022-05-18,"Hoses & Bellows",15894,244391.82
2022-05-18,"Other Automotive",12344,110038.76
2022-05-18,"Powertrain Mounts",5140,300156.44
2022-05-18,"Sealing",84231,269118.36
2022-05-19,"Cable Protection",21180,137573.91
2022-05-19,"Chassis NVH",11180,273404.29
2022-05-19,"Hoses & Bellows",15315,229746.49
2022-05-19,"Other Automotive",11944,104738.56
2022-05-19,"Powertrain Mounts",4916,289598.27
2022-05-19,"Sealing",79300,251366.81
2022-05-20,"Cable Protection",19140,120592.71
2022-05-20,"Chassis NVH",10438,247283.52
2022-05-20,"Hoses & Bellows",13355,206968.73
2022-05-20,"Other Automotive",11305,102321.6
2022-05-20,"Powertrain Mounts",4639,278301.11
2022-05-20,"Sealing",71557,240124.55
2022-05-21,"Cable Protection",3794,24673.09
2022-05-21,"Chassis NVH",3415,84476.61
2022-05-21,"Hoses & Bellows",4539,66276.45
2022-05-21,"Other Automotive",2686,24166.94
2022-05-21,"Powertrain Mounts",1350,76928.5
2022-05-21,"Sealing",17200,54584.56
2022-05-22,"Cable Protection",1888,12261.58
2022-05-22,"Chassis NVH",2695,66276.37
2022-05-22,"Hoses & Bellows",3340,50332.8
2022-05-22,"Other Automotive",1841,16619.4
2022-05-22,"Powertrain Mounts",1113,61991.64
2022-05-22,"Sealing",10823,34854.66
2022-05-23,"Cable Protection",18692,118232.26
2022-05-23,"Chassis NVH",10492,253258.14
2022-05-23,"Hoses & Bellows",13291,197563.94
2022-05-23,"Other Automotive",10573,95910.96
2022-05-23,"Powertrain Mounts",4542,261331.77
2022-05-23,"Sealing",76945,247481.76
2022-05-24,"Cable Protection",19938,127904.62
2022-05-24,"Chassis NVH",11295,270588.69
2022-05-24,"Hoses & Bellows",14422,211655.22
2022-05-24,"Other Automotive",11753,104730.55
2022-05-24,"Powertrain Mounts",4606,271093.15
2022-05-24,"Sealing",79134,251658.97
2022-05-25,"Cable Protection",4906,31790.03
2022-05-25,"Chassis NVH",4150,99991.63
2022-05-25,"Hoses & Bellows",5259,79569.52
2022-05-25,"Other Automotive",3473,31405.92
2022-05-25,"Powertrain Mounts",1655,93218.54
2022-05-25,"Sealing",22079,72759.45
2022-05-26,"Cable Protection",20109,130196.78
2022-05-26,"Chassis NVH",10954,267514.11
2022-05-26,"Hoses & Bellows",15934,232014.02
2022-05-26,"Other Automotive",10782,98529.36
2022-05-26,"Powertrain Mounts",4920,288196.21
2022-05-26,"Sealing",79870,254027.82
2022-05-27,"Cable Protection",17515,114718.39
2022-05-27,"Chassis NVH",9332,227069.76
2022-05-27,"Hoses & Bellows",13764,203537.68
2022-05-27,"Other Automotive",8897,79693.8
2022-05-27,"Powertrain Mounts",4272,239164.62
2022-05-27,"Sealing",65642,207208.28
2022-05-28,"Cable Protection",3537,22357.94
2022-05-28,"Chassis NVH",3395,83289.56
2022-05-28,"Hoses & Bellows",4641,71384.62
2022-05-28,"Other Automotive",2785,24296.76
2022-05-28,"Powertrain Mounts",1341,78334.95
2022-05-28,"Sealing",16190,50615.88
2022-05-29,"Cable Protection",2039,13545.2
2022-05-29,"Chassis NVH",2420,56639.29
2022-05-29,"Hoses & Bellows",3651,56513.45
2022-05-29,"Other Automotive",1790,16339.5
2022-05-29,"Powertrain Mounts",917,51756.84
2022-05-29,"Sealing",9996,31870.49
2022-05-30,"Cable Protection",18648,123642.72
2022-05-30,"Chassis NVH",10610,254836.37
2022-05-30,"Hoses & Bellows",14861,226436.95
2022-05-30,"Other Automotive",10893,98732.65
2022-05-30,"Powertrain Mounts",4338,253989.93
2022-05-30,"Sealing",68995,222698.29
2022-05-31,"Cable Protection",20640,134245.67
2022-05-31,"Chassis NVH",11875,285321.81
2022-05-31,"Hoses & Bellows",17168,257599.13
2022-05-31,"Other Automotive",11255,102041.96
2022-05-31,"Powertrain Mounts",4745,263729.18
2022-05-31,"Sealing",76373,246531.38
2022-06-01,"Cable Protection",20448,132029.96
2022-06-01,"Chassis NVH",11339,286052.37
2022-06-01,"Hoses & Bellows",15038,225441.07
2022-06-01,"Other Automotive",10867,97300.62
2022-06-01,"Powertrain Mounts",5367,302769.48
2022-06-01,"Sealing",79986,250645.34
2022-06-02,"Cable Protection",20240,136851.11
2022-06-02,"Chassis NVH",11209,272437.34
2022-06-02,"Hoses & Bellows",15793,235545.2
2022-06-02,"Other Automotive",10759,99138.18
2022-06-02,"Powertrain Mounts",4952,287936.02
2022-06-02,"Sealing",77945,246106.94
2022-06-03,"Cable Protection",18670,123223.17
2022-06-03,"Chassis NVH",10002,234384.69
2022-06-03,"Hoses & Bellows",14003,215399.33
2022-06-03,"Other Automotive",9990,89063.68
2022-06-03,"Powertrain Mounts",4732,271911.17
2022-06-03,"Sealing",69052,217192.76
2022-06-04,"Cable Protection",1846,11677.23
2022-06-04,"Chassis NVH",2487,60221.69
2022-06-04,"Hoses & Bellows",3312,50272.01
2022-06-04,"Other Automotive",1644,14646.3
2022-06-04,"Powertrain Mounts",1041,60543.04
2022-06-04,"Sealing",9895,32218.76
2022-06-05,"Cable Protection",2064,14050.27
2022-06-05,"Chassis NVH",2595,62703.2
2022-06-05,"Hoses & Bellows",3322,50023.24
2022-06-05,"Other Automotive",1745,15522.09
2022-06-05,"Powertrain Mounts",1041,61196.4
2022-06-05,"Sealing",9698,30457.31
2022-06-06,"Cable Protection",18927,122076.42
2022-06-06,"Chassis NVH",10441,250243.91
2022-06-06,"Hoses & Bellows",14319,215560.44
2022-06-06,"Other Automotive",10396,93337.9
2022-06-06,"Powertrain Mounts",4815,278666.23
2022-06-06,"Sealing",73349,237061.34
2022-06-07,"Cable Protection",22753,151424.88
2022-06-07,"Chassis NVH",10851,264017.45
2022-06-07,"Hoses & Bellows",14287,208190.92
2022-06-07,"Other Automotive",10254,92654.85
2022-06-07,"Powertrain Mounts",4764,280484.16
2022-06-07,"Sealing",77875,249497.32
2022-06-08,"Cable Protection",24068,156001.28
2022-06-08,"Chassis NVH",10877,263928.91
2022-06-08,"Hoses & Bellows",15001,230608.66
2022-06-08,"Other Automotive",10253,93285.73
2022-06-08,"Powertrain Mounts",4814,277516.38
2022-06-08,"Sealing",79827,255262.04
2022-06-09,"Cable Protection",22188,141225.48
2022-06-09,"Chassis NVH",10601,256004.68
2022-06-09,"Hoses & Bellows",15054,233008.19
2022-06-09,"Other Automotive",10170,88234.86
2022-06-09,"Powertrain Mounts",4636,266907.57
2022-06-09,"Sealing",75505,243310.32
2022-06-10,"Cable Protection",20057,129216.47
2022-06-10,"Chassis NVH",10089,245225.87
2022-06-10,"Hoses & Bellows",13594,207802.11
2022-06-10,"Other Automotive",9679,84940.13
2022-06-10,"Powertrain Mounts",4649,269239.38
2022-06-10,"Sealing",69517,227097.45
2022-06-11,"Cable Protection",4058,26653.8
2022-06-11,"Chassis NVH",3278,79041.42
2022-06-11,"Hoses & Bellows",4668,71504.25
2022-06-11,"Other Automotive",2660,24175.96
2022-06-11,"Powertrain Mounts",1343,78298.08
2022-06-11,"Sealing",16475,52290.42
2022-06-12,"Cable Protection",2141,13737.09
2022-06-12,"Chassis NVH",2398,57495.14
2022-06-12,"Hoses & Bellows",3549,54156.15
2022-06-12,"Other Automotive",1773,16167.64
2022-06-12,"Powertrain Mounts",948,56312.03
2022-06-12,"Sealing",10039,30730.78
2022-06-13,"Cable Protection",21427,138996.16
2022-06-13,"Chassis NVH",9559,232555.03
2022-06-13,"Hoses & Bellows",14354,215137.21
2022-06-13,"Other Automotive",10521,94847.1
2022-06-13,"Powertrain Mounts",4427,260035.38
2022-06-13,"Sealing",71844,230649.24
2022-06-14,"Cable Protection",21978,140849.75
2022-06-14,"Chassis NVH",10396,251831.01
2022-06-14,"Hoses & Bellows",15105,227748.12
2022-06-14,"Other Automotive",10757,99695
2022-06-14,"Powertrain Mounts",4695,267320.08
2022-06-14,"Sealing",78877,251491.28
2022-06-15,"Cable Protection",21763,142053.57
2022-06-15,"Chassis NVH",10590,251845.82
2022-06-15,"Hoses & Bellows",15997,235896.1
2022-06-15,"Other Automotive",10153,91139.87
2022-06-15,"Powertrain Mounts",4612,262316.32
2022-06-15,"Sealing",78712,253297.98
2022-06-16,"Cable Protection",22053,139711.57
2022-06-16,"Chassis NVH",10865,264196.81
2022-06-16,"Hoses & Bellows",15058,231628.47
2022-06-16,"Other Automotive",9829,88872.22
2022-06-16,"Powertrain Mounts",4426,257055.65
2022-06-16,"Sealing",76690,250383.1
2022-06-17,"Cable Protection",20066,127637.33
2022-06-17,"Chassis NVH",9743,236106.8
2022-06-17,"Hoses & Bellows",12856,199711.75
2022-06-17,"Other Automotive",10472,93887.02
2022-06-17,"Powertrain Mounts",3922,234357.14
2022-06-17,"Sealing",68631,224398.13
2022-06-18,"Cable Protection",3814,24888.78
2022-06-18,"Chassis NVH",2995,71717.77
2022-06-18,"Hoses & Bellows",4682,69788.66
2022-06-18,"Other Automotive",2906,25965.89
2022-06-18,"Powertrain Mounts",1343,77961.46
2022-06-18,"Sealing",15809,51854.64
2022-06-19,"Cable Protection",2055,13230.66
2022-06-19,"Chassis NVH",2499,59888.64
2022-06-19,"Hoses & Bellows",3596,54298.87
2022-06-19,"Other Automotive",1801,16080.75
2022-06-19,"Powertrain Mounts",924,53224.91
2022-06-19,"Sealing",10187,32977.99
2022-06-20,"Cable Protection",18594,121194.08
2022-06-20,"Chassis NVH",10197,246014.58
2022-06-20,"Hoses & Bellows",14812,224826.92
2022-06-20,"Other Automotive",11063,104765.42
2022-06-20,"Powertrain Mounts",4485,246907.36
2022-06-20,"Sealing",74524,233128.21
2022-06-21,"Cable Protection",20937,139139.9
2022-06-21,"Chassis NVH",10644,254102.91
2022-06-21,"Hoses & Bellows",14707,222143.55
2022-06-21,"Other Automotive",11871,105913.32
2022-06-21,"Powertrain Mounts",4437,251719.96
2022-06-21,"Sealing",80594,259592.24
